n_trees,library,batch,winner,margin_pct,iqr_pct,robust
100,lightgbm,1,lgb_onnx,120.39314211158286,7.115263530872581,True
100,lightgbm,2,lgb_onnx,132.66237012220517,3.2630829318381385,True
100,lightgbm,4,lgb_onnx,148.56024454635448,3.7266249525307305,True
100,lightgbm,8,lgb_onnx,136.01880769854796,2.303106235651641,True
100,lightgbm,16,lgb_onnx,48.36368051890451,3.587257799986252,True
100,lightgbm,32,lgb_booster,3.4756938319449513,43.56734640026872,False
100,lightgbm,64,lgb_onnx,38.38190672088119,1.692931100284684,True
100,lightgbm,128,lgb_onnx,33.23070210329702,2.067866207927248,True
100,lightgbm,256,lgb_onnx,31.56717002157904,1.6228123773842518,True
100,lightgbm,512,lgb_booster,11.637890288310588,11.37870124960117,False
100,lightgbm,1024,lgb_booster,9.309662787964028,2.321669165169513,True
100,lightgbm,4096,lgb_onnx,33.432871160351866,1.801721440092047,True
100,lightgbm,16384,lgb_onnx,37.93781428611134,1.9223124807585883,True
100,xgboost,1,xgb_onnx,1691.651825003403,18.48109657596015,True
100,xgboost,2,xgb_onnx,1378.1244740748407,3.771386304060312,True
100,xgboost,4,xgb_onnx,593.1783342687274,57.91993222078646,True
100,xgboost,8,xgb_onnx,509.857546712334,3.069682457756544,True
100,xgboost,16,xgb_onnx,416.9374973000639,3.951371466953079,True
100,xgboost,32,xgb_onnx,183.34488996228,1.9462663185214224,True
100,xgboost,64,xgb_onnx,1.2543200877997713,2.4353551355577676,False
100,xgboost,128,xgb_inplace,21.348988328669346,5.4659197068668055,True
100,xgboost,256,xgb_inplace,14.014979123787255,2.2997744118704846,True
100,xgboost,512,xgb_dmatrix,6.554012742450409,1.1507126258845832,True
100,xgboost,1024,xgb_inplace,15.256924745556365,2.1368745104922064,True
100,xgboost,4096,xgb_inplace,86.36407515554036,3.181700585279238,True
100,xgboost,16384,xgb_sklearn,31.092447509020314,1.2391494515255965,True
100,catboost,1,cat_onnx,1300.8411615072055,30.60088417391273,True
100,catboost,2,cat_onnx,1405.7645313733804,16.659409137229872,True
100,catboost,4,cat_onnx,1460.5314090434833,12.684586224024306,True
100,catboost,8,cat_onnx,674.5096514896042,6.483938453477959,True
100,catboost,16,cat_onnx,184.36594093548362,4.8775951424441795,True
100,catboost,32,cat_onnx,239.35391727025223,2.8654116028165566,True
100,catboost,64,cat_onnx,41.89829820356816,3.2339009942129753,True
100,catboost,128,cat_sklearn,51.540434431910626,10.846035908476066,True
100,catboost,256,cat_sklearn,124.04705425369478,3.6517967163708227,True
100,catboost,512,cat_sklearn,261.6029091107771,3.6404936571217226,True
100,catboost,1024,cat_sklearn,285.27831749811946,7.956193756768355,True
100,catboost,4096,cat_sklearn,792.500716745563,7.233562986561293,True
100,catboost,16384,cat_sklearn,1041.832383545819,1.7417813235881172,True
500,lightgbm,1,lgb_onnx,40.51136473316293,12.691588259819408,True
500,lightgbm,2,lgb_onnx,83.65203754533913,10.014772521923636,True
500,lightgbm,4,lgb_onnx,66.40571796935575,8.39053255182728,True
500,lightgbm,8,lgb_onnx,41.20814711119229,26.316085710280824,False
500,lightgbm,16,lgb_onnx,91.29903896253876,2.5887025084461586,True
500,lightgbm,32,lgb_onnx,39.11312677753947,1.7654153274602626,True
500,lightgbm,64,lgb_onnx,44.505686476619836,1.667213482978898,True
500,lightgbm,128,lgb_onnx,50.82020652811991,2.8472237229547845,True
500,lightgbm,256,lgb_onnx,60.59824533224756,47.63596284563186,False
500,lightgbm,512,lgb_onnx,47.404253420633445,1.947623824134972,True
500,lightgbm,1024,lgb_sklearn,1.7881583253217002,2.4246196046833455,False
500,lightgbm,4096,lgb_onnx,47.6116211167998,2.2377218257440963,True
500,lightgbm,16384,lgb_onnx,46.44331433531969,32.382992068792106,False
500,xgboost,1,xgb_onnx,671.4531966125796,11.341988038792127,True
500,xgboost,2,xgb_onnx,884.2269320688682,6.263668375861366,True
500,xgboost,4,xgb_onnx,471.606256385752,2.050888366383955,True
500,xgboost,8,xgb_onnx,200.97123620291833,2.2832822026949704,True
500,xgboost,16,xgb_onnx,21.982499140568848,2.838322906152517,True
500,xgboost,32,xgb_onnx,17.15376340872297,2.142056703238045,True
500,xgboost,64,xgb_inplace,12.3108055038791,5.019657410150199,False
500,xgboost,128,xgb_inplace,6.027650829317766,4.0173137916781805,False
500,xgboost,256,xgb_inplace,5.899087434018722,1.643651958215986,True
500,xgboost,512,xgb_inplace,0.4045131582156182,29.46535054312868,False
500,xgboost,1024,xgb_inplace,2.8100523603293976,0.972548628849337,False
500,xgboost,4096,xgb_inplace,3.3926937357572564,2.6316540349857642,False
500,xgboost,16384,xgb_inplace,1.3911090754227113,43.88780000328875,False
500,catboost,1,cat_onnx,413.55462629725,7.597026794965605,True
500,catboost,2,cat_onnx,398.0286014765189,7.220811442423406,True
500,catboost,4,cat_onnx,105.2786151631965,8.872695808693495,True
500,catboost,8,cat_onnx,88.25126849106701,3.5843373572279607,True
500,catboost,16,cat_sklearn,50.00998331394677,3.1306795830055205,True
500,catboost,32,cat_sklearn,65.57372268272441,5.609241840912446,True
500,catboost,64,cat_sklearn,361.4150246077144,4.894130812081412,True
500,catboost,128,cat_sklearn,679.5939223526212,6.133227329340336,True
500,catboost,256,cat_sklearn,985.1409984167166,10.813667928495214,True
500,catboost,512,cat_sklearn,672.404697154014,248.64099575110117,False
500,catboost,1024,cat_sklearn,757.2945307200771,29.064566856513235,True
500,catboost,4096,cat_sklearn,2154.1598056003136,5.891113355667844,True
500,catboost,16384,cat_sklearn,2132.116848341713,65.81655286892482,True
1000,lightgbm,1,lgb_onnx,80.96069217285631,8.913343020686442,True
1000,lightgbm,2,lgb_onnx,130.0800996183153,2.8909849129155067,True
1000,lightgbm,4,lgb_onnx,81.24075836193903,4.747083974460206,True
1000,lightgbm,8,lgb_onnx,76.87668820199482,0.9771434548385464,True
1000,lightgbm,16,lgb_onnx,31.413235010857793,4.991279905293511,True
1000,lightgbm,32,lgb_onnx,114.3901261790457,0.5591164201042755,True
1000,lightgbm,64,lgb_onnx,134.11045166257762,2.2777438850520424,True
1000,lightgbm,128,lgb_onnx,49.281117147614125,3.7249827967999667,True
1000,lightgbm,256,lgb_onnx,129.50557188010995,3.639755499979419,True
1000,lightgbm,512,lgb_onnx,121.8429120851754,2.0294721245529823,True
1000,lightgbm,1024,lgb_onnx,130.20368644084144,4.677192419335351,True
1000,lightgbm,4096,lgb_onnx,117.12841057118399,42.365030938243784,False
1000,lightgbm,16384,lgb_onnx,139.94228804000738,23.309765646713224,True
1000,xgboost,1,xgb_onnx,451.62121545277995,4.041920028263987,True
1000,xgboost,2,xgb_onnx,598.8234332988648,3.3704887877091685,True
1000,xgboost,4,xgb_onnx,318.79728599490943,3.877069326792245,True
1000,xgboost,8,xgb_onnx,129.367352130268,2.3383559618921543,True
1000,xgboost,16,xgb_onnx,37.443738026154165,3.6274732347491216,True
1000,xgboost,32,xgb_inplace,4.9447977782303605,1.6785916684575826,False
1000,xgboost,64,xgb_dmatrix,3.351174339783577,3.006950384816574,False
1000,xgboost,128,xgb_inplace,2.4973006892004697,3.4689255943850403,False
1000,xgboost,256,xgb_inplace,1.45417152453569,2.7647158408162626,False
1000,xgboost,512,xgb_inplace,3.01383445232824,3.2849661836117363,False
1000,xgboost,1024,xgb_dmatrix,0.9353720158818304,1.342282530916822,False
1000,xgboost,4096,xgb_sklearn,1.9052029528557637,4.120748116619928,False
1000,xgboost,16384,xgb_sklearn,0.23558253799374693,25.91842737020376,False
1000,catboost,1,cat_onnx,211.4237714651358,2.958315194589787,True
1000,catboost,2,cat_onnx,141.4404264160457,3.597227828344929,True
1000,catboost,4,cat_onnx,55.68494017254393,3.1540785423026167,True
1000,catboost,8,cat_onnx,45.39567395174104,2.1550547143492986,True
1000,catboost,16,cat_sklearn,98.51859747924996,1.3286445231570778,True
1000,catboost,32,cat_sklearn,226.87420727912482,3.767510226770942,True
1000,catboost,64,cat_sklearn,726.4935067907966,5.189172576869045,True
1000,catboost,128,cat_sklearn,770.6288115654698,2.850702774888081,True
1000,catboost,256,cat_sklearn,1173.2771065329744,2.614474694984524,True
1000,catboost,512,cat_sklearn,1758.386041757511,25.972044211050257,True
1000,catboost,1024,cat_sklearn,1972.8587699116692,3.2765135650133006,True
1000,catboost,4096,cat_sklearn,3094.613946580854,2.5414022460060792,True
1000,catboost,16384,cat_sklearn,3753.0394373855725,3.435667750208303,True
