config,sweep,dataset,n_features,n_trees,threads,path,batch,n_calls,median_us_per_row,iqr_us_per_row,min_us_per_row,max_us_per_row,call_p50_us,call_p95_us,call_p99_us
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_inplace,128,244,4.622157370645492,0.25264341060450857,4.569989465932378,5.304510598104508,584.3945,777.2105999999999,1002.3648000000004
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,16384,5,2.015721960449219,0.024977807617187597,2.0001815673828127,2.293467578125,32928.403,36370.6748,48272.56828
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_booster,512,49,5.979937420280612,0.6804392139668378,5.819378427933673,8.400515625,3017.762,4036.807899999998,5635.0095200000005
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_inplace,32,276,13.95672509057971,4.915012907608697,12.05271139039855,19.209093183876814,443.273,618.9902500000001,1078.1349500000001
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_inplace,16,401,30.12908712593516,5.768583930798002,23.653813123441395,54.94959788029925,463.3,561.098,1111.6992999999984
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,cat_sklearn,2,337,263.50628338278926,26.633189169139428,223.26729376854598,338.8686661721068,437.27,1164.684599999999,1647.92916
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,512,58,5.024472790948276,1.0000119039601296,2.9808064722521554,5.650614459859914,2524.261,3369.680199999997,4607.6145
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,cat_sklearn,512,156,1.3316749549278846,0.048479542267628295,1.299619416065705,1.4854087164463141,682.7760000000001,747.70925,974.5507499999966
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_onnx,4096,8,4.179005615234375,0.04662037658691354,4.140510955810547,4.502612091064453,17038.915999999997,18127.11605,21735.67021999999
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,cat_onnx,64,433,5.1857439737297915,0.16770182592378724,5.030240076501155,5.599816325057736,323.673,411.3558999999992,518.25842
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,8,313,61.127216453674116,4.114632587859425,57.40945447284345,65.12623961661342,465.623,589.4193999999997,772.6086799999996
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_booster,256,97,5.992214481314433,0.10243486227448528,5.9045700708762885,6.4089345602448455,1524.192,1685.3058,2074.7016199999994
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_sklearn,2,213,344.3091384976526,19.671813380281776,331.79228873239435,372.1321877934272,675.392,847.5467000000002,1033.95126
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,1024,57,4.513225825794956,0.22081982421875068,4.10713258977522,4.957922114857456,4598.022,5594.786099999999,6823.7555600000005
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_onnx,32,552,7.984255774456522,0.1297312047101462,7.564179291213768,8.377569067028986,248.72449999999998,283.74354999999997,347.87465
