config,sweep,dataset,n_features,n_trees,threads,path,batch,n_calls,median_us_per_row,iqr_us_per_row,min_us_per_row,max_us_per_row,call_p50_us,call_p95_us,call_p99_us
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_inplace,128,223,5.621229295123318,0.36159571188340767,5.3041933506165915,6.278912450952915,675.553,1014.9006000000004,1462.1890800000003
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,16384,5,2.132296044921875,0.1153706970214845,2.057176306152344,2.3024382202148437,33948.964,39423.96719999999,48273.794440000005
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_booster,512,44,8.321309215198864,1.9651415127840899,6.026648481889205,9.530559525923296,4156.5509999999995,5263.731899999999,6056.575000000001
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_inplace,32,235,19.808036037234043,1.602307579787233,18.039060638297872,22.95967380319149,592.885,850.1207999999995,1797.1000799999988
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_inplace,16,241,26.818404823651452,9.234712785269707,24.577003890041496,43.75259362033195,423.023,773.149,1375.9095
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,cat_sklearn,2,346,243.08139884393063,14.718747109826609,224.80245809248555,265.5026242774567,450.2235,675.81475,1106.4902999999997
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,512,88,3.836108309659091,0.40911551180752914,3.193530118075284,7.377862681995739,1840.1064999999999,2979.3743,3633.112590000003
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,cat_sklearn,512,223,1.6976334781390134,0.2388914701863789,1.5885244622337442,1.8919728752102019,809.721,1356.4244,1864.0611600000002
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_onnx,4096,8,4.684382446289063,0.33515376281738263,4.375152679443359,5.325656433105468,18681.3045,22713.580499999996,27429.320119999986
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,cat_onnx,64,417,6.654905050959233,2.461205260791367,5.749825539568345,8.888550134892085,469.213,665.2599,937.1304200000034
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,8,216,88.39422222222223,2.820899305555571,85.4085792824074,93.57496875,670.6705,926.37875,1702.71425
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_booster,256,56,6.7190732421875,1.5725395507812507,6.079522530691965,10.04306068638393,1737.837,2707.94275,3471.7461500000013
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_sklearn,2,126,389.3505595238095,12.19481944444442,356.67945238095234,430.03023412698417,732.5595000000001,1050.887,1307.8643500000017
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_sklearn,1024,52,3.0456456768329327,0.23511101825420688,2.78509521484375,3.412522442157452,2944.957,4142.058849999998,5396.5494899999985
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,lgb_onnx,32,873,5.974898661225659,0.2961684206758308,5.35085592067583,6.513007660366552,184.156,264.68399999999997,322.28151999999994
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,xgb_dmatrix,256,120,4.418509830729167,0.43232999674479267,4.08124423828125,4.877509342447916,1073.944,1709.3147499999998,2087.403739999998
online_shoppers_f17_t100_th1,trees,online_shoppers,17,100,1,cat_sklearn,4096,58,0.625210832266972,0.04180261651400863,0.5660660400390625,0.732496198983028,2395.4325,3430.0953499999996,4406.2558199999985
